"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3634","User login test","chromium","2026-04-21","passed","2026-04-21","","Login.spec.ts","",""
"","9673","Login Test with JSON Data: Invalid login","chromium","2026-04-21","passed","2026-04-21","","LoginDataDriven.spec.ts","",""
"","3984","User logout test @master @regression","chromium","2026-04-21","passed","2026-04-21","","Logout.spec.ts","",""
"","2656","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-04-21","passed","2026-04-21","","LoginDataDriven.spec.ts","",""
"","4255","Login Test with CSV Data: Invalid login","chromium","2026-04-21","passed","2026-04-21","","LoginDataDriven.spec.ts","",""
"","9862","execute end-to-end test flow @end-to-end","chromium","2026-04-21","passed","2026-04-21","","EndToEndTest.spec.ts","",""
"","4553","Login Test with CSV Data: Valid login","chromium","2026-04-21","passed","2026-04-21","","LoginDataDriven.spec.ts","",""
"","2910","Login Test with CSV Data: Valid login @datadriven","chromium","2026-04-21","passed","2026-04-21","","LoginDataDriven.spec.ts","",""
"","12652","execute end-to-end test flow","chromium","2026-04-27","passed","2026-04-27","","EndToEndTest.spec.ts","",""
"","9902","Login Test with JSON Data: Valid login","chromium","2026-04-21","passed","2026-04-21","","LoginDataDriven.spec.ts","",""
"","9836","User registration test @master @sanity @regression","chromium","2026-04-21","passed","2026-04-21","","AccountRegistration.spec.ts","",""
"","3062","Add product to cart test @master @regression","chromium","2026-04-21","passed","2026-04-21","","AddToCart.spec.ts","",""
"","6632","User registration test","chromium","2026-04-21","passed","2026-04-21","","AccountRegistration.spec.ts","",""
